2252,EC0829,Codificación de comandos y datos de controladores en sistemas mecatrónicos
2273,EC0835,Ejecución de software con codificación de comandos y datos orientada a objetos 
2272,EC0834,Ejecución de software con c odificación de comandos y datos estructurada .


2079,EC0740,Mantenimiento a equipo de cómputo y software

1423,EC0160,Desarrollo de código de software

2704,EC1124,Operación del software de precios unitarios

2849,EC1252,Ejecución de prueba de software

2996,EC1282,Desarrollo de software /sistema y aplicaciones informáticas

1423,EC0160,Desarrollo de código de software

2133,EC0772,Evaluación del aprendizaje con enfoque en competencias profesionales
2264,EC0862,Implementación de estrategias para promover la certificación de competencias